Entity,Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,ARG,3.1323583,3.1537223,2.8275332,2.963201,3.0450959,3.2100456,3.2442515,3.3627226,3.5632772,3.305795,3.5032043,3.5834718,3.6150167,3.4547565,3.5960059,4.0012131,4.0533223,4.1533222,4.2373619,4.6145616,4.7078919,4.8136106,4.8590355,5.0915828,5.1528296,5.0658374,5.0872693,5.3133326,5.203927,5.4606805,5.4924817,5.5658088,5.7907901,6.1241703,6.4134645,6.2528167,6.801054,7.1421461,7.5077691,7.210247,7.9278641,9.1064196,10.624586,12.120313,13.41672,15.668852,19.797655,18.918245,18.077232,16.997791,17.088823,16.888453,16.212681,16.699135,16.864653,17.18429,17.67194,18.664129,19.550049,18.543003,20.23,21.44911,21.437298,21.548719,21.15003,21.29937,21.183163,21.749641
Australia,AUS,13.322768,12.820562,12.497678,14.030227,14.992547,15.641343,15.745474,15.792577,17.090656,18.153866,18.05427,18.552853,19.15642,19.981464,20.298876,19.985029,20.664099,20.986965,22.093,23.179087,23.250698,23.88142,24.58086,25.215528,23.592522,24.323568,24.920927,25.126692,26.238943,26.66614,26.848894,28.003149,27.646475,29.969896,29.874096,29.848671,29.151663,30.814905,31.502882,31.221367,31.074718,31.9223,33.419811,34.15519,34.381001,34.892288,36.566433,38.199703,39.136868,40.284904,40.52187,42.122478,42.412212,43.462162,44.333633,45.976162,46.081429,45.908466,47.30357,47.501831,50.50304,52.322773,52.503056,53.549725,54.28088,51.537594,54.122646,54.590942
Austria,AUT,5.9696288,6.162632,6.4790483,6.8858743,7.1864848,7.5257998,7.8418093,8.0817518,8.3513241,8.5183754,8.9745646,9.4762421,9.8458424,10.383104,10.973978,11.466452,12.227798,12.888776,13.711351,14.518495,15.88798,16.59812,17.305473,18.008989,17.65505,18.503149,18.938335,19.471764,19.948812,20.318121,20.369226,21.193405,21.373768,21.87994,21.847567,22.344339,23.38624,24.417728,25.874746,26.74239,27.954485,28.820869,30.511366,31.410557,32.901096,34.834599,34.784927,36.095364,37.60099,38.359661,40.138851,39.229034,40.157379,41.077126,42.398453,46.62809,47.237778,48.215248,49.313515,48.581207,49.893505,50.874996,52.943409,52.703903,54.838917,56.620911,56.392387,57.436661
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,1.8953897,1.8983259,1.8334224,1.5848912,1.6094662,1.5162408,1.6680732,1.7533752,1.766281,1.8315349,1.7852416,1.7565951,1.6860377,1.6515626,1.7403839,1.7978721,1.8405169,1.8032814,1.8451234,2.0238979,1.9992708,1.9661965,1.9744751,1.9771698,2.0216656,2.0671575,2.0779238,2.0096374,1.937279,1.8294529,1.84047,1.9230654,2.0537422,2.1522231,2.0759661,2.0427415,2.1174192,2.2973101,2.5062399,2.6503162,2.94453,3.2647588,3.162133,3.3607697,3.4916494,3.6578555,3.7545421,3.9739883
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.340712,29.273386,30.164011,28.45512,28.198967,30.013926,30.543013,27.105417,26.935707,25.979296,23.152149,,,,,,,,,,,,,,,,
Belgium,BEL,8.6786203,9.0527563,9.2655239,9.5683317,10.024344,10.478901,10.809063,10.965244,10.985106,11.47072,11.852278,12.48473,13.036123,13.52477,14.355681,14.887735,15.335458,16.083799,16.881472,17.735731,18.879803,19.582233,21.121284,22.739283,23.857542,24.089537,25.782715,26.630163,27.906719,28.773849,31.193539,30.662487,30.300247,29.649204,29.181053,27.468054,29.570097,31.264128,33.354702,33.959206,34.837952,36.063713,37.993351,39.598164,40.748886,41.033962,41.592304,42.932175,42.208862,43.694687,45.309151,44.999535,46.538719,48.612476,49.49155,54.604336,52.271511,52.69931,56.75782,55.784901,60.096947,59.850201,60.874744,60.601669,60.029507,58.377346,58.206379,59.649548
Brazil,BRA,2.0183465,2.0136688,2.1577322,2.1518674,2.2624547,2.3556316,2.3613508,2.4894896,2.5451198,2.5776834,2.7296708,3.0353971,3.1873901,3.3214586,3.3864095,3.5131247,3.5909734,3.7938762,4.0813117,4.0495768,4.4857993,4.8023939,5.1513901,5.2654266,5.6428123,5.7889414,6.1752005,5.8081079,5.904983,6.4813375,6.6202435,6.6234407,6.4661374,6.3414092,6.3196597,6.2176189,6.9551373,6.9812369,6.8414459,6.8902206,6.5807037,7.2070551,7.4406695,7.9495263,8.8503571,10.196321,12.525192,11.974554,11.557292,10.752215,10.44435,10.375819,10.113252,9.9569731,10.033028,10.218953,10.876312,11.895355,13.056262,13.475542,15.366799,16.950859,16.957285,17.148949,16.800144,16.322033,16.182266,16.340326
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.877464,9.5132685,8.4673223,9.374527,11.513647,13.112293,13.425004,13.879546,13.96178,14.023319,15.207089,15.638757,16.475576,16.860069,17.045033,18.586483,19.28912,20.312969,19.902174,20.592684,21.212688,22.20866,23.260147
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2866514,1.4233295,1.484109,1.3500617,1.3137631,1.1839105,1.2092823,1.2382288,1.2456648,1.2573605,1.3115678,1.3320304,1.4915071,1.5330265,1.6654518,1.7986577,1.6651466,1.7318,1.8397888,1.9416935,2.1547282,2.1629019,2.2603822,2.1720238,2.2441418
Canada,CAN,11.386551,11.552659,12.519122,13.046285,13.125496,14.242355,14.883037,15.204967,16.148638,16.542667,17.304464,18.185509,18.899683,19.613056,20.408737,20.987938,21.936708,22.262802,23.725767,24.448112,25.394405,26.407663,26.97714,27.587763,27.074583,27.411066,28.787043,29.621363,29.926588,29.727093,29.696297,30.136196,30.818825,31.821457,33.058121,32.577175,32.126659,33.229385,33.719601,34.402771,34.59663,34.677727,35.412407,36.012608,36.842808,38.139107,38.40099,39.299183,39.019329,40.714176,42.451405,41.892647,41.606812,42.973328,43.813068,46.731682,46.314728,46.369289,47.759228,44.566868,46.686527,48.667168,48.724464,49.829941,52.130924,48.761402,48.724659,49.533581
